NOME_PRODUTO,URL,PORCAO (g),CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Steak recheado 100g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/steak-recheado-100g,100,235,9,13,17,5,1.2,0,650
Steak de Frango 100g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/steak-de-frango-100g,100,319,20,16,20,5.1,1.6,0.7,606
Mini Chicken Tradicional 275g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-tradicional-275g,100,236,19,13,12,3.2,0,1,500
Mini Chicken sabor queijo 275g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-sabor-queijo-275g,130,324,26,16,17,5.1,0,1.4,650
Tirinhas de frango 300g,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/tirinhas-de-frango-300g-2,100,236,20,12,12,3.3,1.3,0,518
Mini Chicken Tradicional 1Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-tradicional-1kg,130,307,24,16,15,4.2,0,1.3,650
Big Chicken Tradicional 1Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/big-chicken-tradicional-1kg,100,274,19,16,14,4.3,1.5,1,690
Big Chicken Queijo 1Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/big-chicken-queijo-1kg,100,309,20,17,18,6,0.8,0.9,0
Mini Chicken Tradicional 3Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-tradicional-3kg-2,100,236,19,13,12,32,0,1,500
Mini Chicken Queijo 3 Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/mini-chicken-queijo-3-kg,130,324,26,16,17,5.1,0,1.4,650
Tirinhas de frango 1Kg,https://www.perdigao.com.br/produtos/empanados/todos-os-empanados/tirinhas-de-frango-1kg-2,100,235.82,20.42,12.3,11.66,3.3,1,0,517.71
Salsicha Hot Dog 500g,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-hot-dog-500g,50,94,1.8,6.8,6.6,2.8,0,0,445
Salsicha Defumada 500g,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-defumada-500g,100,207,2.8,13,16,5.8,0,0.6,1.120
Salsicha de Frango 500g,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-de-frango-500g,50,103,1.6,6,8,2.5,0,0.5,540
Salsicha Viena 500g,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-viena-500g-2,100,113,2.0,6.0,9.0,2.7,0,0,520
"Salsicha Hot Dog Resfriada 2,8kg",https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-hot-dog-resfriada-28kg,50,102,2,6.5,7.5,2.9,0,0.5,540
Salsicha Hot Dog Congelada 5kg,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-hot-dog-congelada-5kg,50,115,1.9,6.5,9,3.5,0,0.6,560
Salsicha de Frango 5kg,https://www.perdigao.com.br/produtos/salsichas/todas-as-salsichas/salsicha-de-frango-5kg,100,116,1.8,7,9,2.7,0,0.5,460
Linguiça Toscana com Queijo Coalho 600g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais-recheadas/linguica-toscana-com-queijo-coalho-600g,50,127,0.5,7.7,10,4,0,0.5,482
Linguiça Toscana com Pimenta Biquinho 600g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais-recheadas/linguica-toscana-com-pimenta-biquinho-600g,50,102,0.5,7,8.2,2.7,0,0.4,479
Linguiça Toscana com Alho e Ervas Finas 600g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais-recheadas/linguica-toscana-com-alho-e-ervas-finas-600g,50,107,0.8,7.9,8.1,2.7,0,0.4,468
Linguiça de Frango com Bacon 600g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais-recheadas/linguica-de-frango-com-bacon-600g,50,97,0.5,8.1,6.8,2.2,0,0.5,457
Linguiça de Carne Suína 900g,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-carne-suina-900g,50,110,0,7.2,8.8,2.8,0,0,462
Linguiça Mista para Churrasco 5kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-mista-para-churrasco-5kg,50,119,0.7,6.5,10,4.2,0,0.4,482
Linguiça Toscana Apimentada Na Brasa 1kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-toscana-apimentada-na-brasa-1kg,50,106,0.6,8,8.1,1.9,0,0.4,464
Linguiça de Carne Suína 5kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-carne-suina-5kg-2,50,117,0,0,0,0,0,0,0
Linguiça de Frango Na Brasa 1kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-frango-na-brasa-1kg,50,95,0.5,7.5,7.1,2.1,0,0.5,451
Linguiça de Pernil Na Brasa 1kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-pernil-na-brasa-1kg,50,104,0.5,7.6,8,2.6,0,0.4,461
Linguiça Toscana Na Brasa 1kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-toscana-na-brasa-1kg,50,106,0.5,8,7.9,3,0,0.4,468
Linguiça de Pernil Na Brasa 5kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-pernil-na-brasa-5kg,50,104,0.5,7.6,8,2.6,0,0.4,462
Linguiça de Frango Na Brasa 5kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-frango-na-brasa-5kg,50,94,0.5,7,7.1,2.3,0,0.5,440
Linguiça De Pernil 5 kg,https://www.perdigao.com.br/produtos/linguicas/linguicas-frescais/linguica-de-pernil-5-kg,50,90,0.8,7,6.5,2.1,0.3,0.6,469
